Nombre de génération, Nombre d'étapes, x, y, z, seuil
314,98,2680,6860,5241,14658
315,141,9312,5542,-3334,11431
316,98,-254,-2102,11222,8812
317,48,8320,11851,7430,27522
318,172,5269,-147,3450,8569
319,212,9718,4978,4592,19153
320,2,282,9590,8406,18210
321,25,10376,11185,3107,24486
322,105,6687,275,349,7247
323,369,-482,23567,-17138,5933
324,1087,4792,-11860,14943,7856
325,161,3274,14136,1769,19020
326,25,4342,5815,8179,18305
327,637,12525,-448,-6635,5400
328,5212,-15449,-178143,203477,9808
329,7,2308,8233,909,11406
330,64,3600,5809,-270,9137
331,19,11424,5362,3530,20118
332,137,8428,3751,3741,15822
333,21,5232,7639,2501,15288
334,40,10254,13259,6274,29648
335,29,7363,5425,7656,20423
336,1348,-15957,34028,-13009,5031
337,44,10706,11791,4984,27393
338,207,7054,8552,7403,22801
339,12,1312,1094,10507,12904
340,2144,72123,-45507,-22647,3937
341,148,7840,4114,-3087,8846
342,53,2126,1032,2513,5646
343,8,7984,2018,7607,17514
344,3141,86561,7337,-89071,4824
345,7,7502,5682,2654,15791
346,266,1896,-4686,17684,14812
347,37,5679,8787,9675,24046
348,153,9038,9324,744,18918
349,899,29208,-25669,9379,12818
350,50,11846,6168,6790,24744
351,30,6898,5754,7588,20084
352,625,23241,-5451,-7866,9848
353,40,8932,12754,8550,29965
354,141,9345,5802,-1635,13400
355,31,3399,10778,12638,26571
356,230,-939,16584,4000,19553
357,173,9614,1652,5199,16412
358,37,11907,7638,7471,26910
360,212,7629,-7407,9016,9159
361,43,7997,8720,8084,24720
363,135,2271,5528,2149,9893
364,544,-11096,33342,4842,27042
366,432,11512,10663,-11890,10271
367,44,7348,7761,13186,28155
368,24,5249,9739,10698,25520
369,467,13072,-12356,6166,6860
370,31,673,3984,-82,4565
371,127,4961,6776,5844,17539
372,66,-2815,4265,3898,5323
374,206,8664,3426,3769,15712
375,159,9336,457,-4019,5727
376,1190,29200,33638,-52712,10038
377,261,11545,6736,4886,23058
378,6,5287,6078,7072,18327
379,271,3846,7389,3111,14291
380,15,3265,4732,4794,12687
383,81,2688,4086,12405,19014
384,147,13068,1379,2158,16568
385,277,658,4525,13384,18507
386,306,22156,2566,2940,27452
387,560,3575,-20083,21292,4782
388,186,1038,6564,10758,18255
389,19,8672,4923,2378,15839
